iter	Passed	Remaining
0	1	116
1	2	124
2	3	114
3	4	103
4	5	99
5	6	98
6	7	98
7	8	94
8	9	93
9	10	90
10	12	101
11	16	124
12	20	137
13	21	130
14	22	125
15	22	120
16	23	115
17	24	111
18	25	106
19	25	103
20	26	99
21	27	95
22	27	92
23	28	90
24	29	87
25	29	85
26	30	83
27	31	80
28	31	78
29	32	75
30	33	74
31	34	72
32	34	70
33	35	68
34	36	67
35	36	65
36	37	63
37	37	61
38	38	60
39	39	58
40	39	57
41	39	54
42	40	53
43	41	52
44	41	51
45	42	49
46	42	48
47	43	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	46	39
54	47	38
55	47	37
56	48	36
57	48	35
58	49	34
59	49	33
60	49	31
61	50	30
62	50	29
63	51	28
64	51	27
65	51	26
66	52	25
67	52	24
68	53	23
69	53	22
70	53	22
71	54	21
72	56	20
73	57	20
74	57	19
75	58	18
76	58	17
77	58	16
78	59	15
79	59	14
80	60	14
81	60	13
82	61	12
83	61	11
84	62	10
85	62	10
86	63	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	68	0
99	69	0
