iter	Passed	Remaining
0	46	46536
1	47	23702
2	48	15956
3	48	12065
4	49	9760
5	49	8228
6	50	7133
7	50	6288
8	51	5640
9	51	5117
10	52	4685
11	52	4323
12	52	4021
13	53	3765
14	53	3537
15	54	3339
16	54	3163
17	55	3006
18	55	2869
19	56	2744
20	56	2632
21	56	2530
22	57	2435
23	57	2347
24	58	2267
25	58	2201
26	59	2136
27	60	2104
28	61	2044
29	61	1987
30	61	1932
31	62	1882
32	62	1836
33	63	1792
34	63	1758
35	64	1718
36	64	1680
37	64	1644
38	65	1610
39	65	1579
40	66	1550
41	67	1532
42	67	1507
43	68	1482
44	68	1459
45	70	1462
46	71	1453
47	72	1439
48	73	1418
49	73	1397
50	73	1376
51	74	1356
52	74	1337
53	75	1318
54	75	1300
55	76	1282
56	76	1265
57	76	1248
58	77	1234
59	77	1219
60	78	1204
61	78	1190
62	79	1176
63	79	1165
64	80	1153
65	80	1140
66	80	1127
67	81	1118
68	83	1122
69	84	1119
70	84	1108
71	85	1097
72	86	1100
73	87	1090
74	88	1087
75	89	1083
76	89	1072
77	89	1061
78	90	1052
79	90	1043
80	91	1034
81	91	1024
82	91	1013
83	92	1006
84	93	1002
85	93	996
86	94	988
87	94	981
88	95	973
89	95	966
90	96	960
91	96	955
92	97	948
93	97	941
94	98	939
95	99	932
96	99	927
97	100	923
98	100	917
99	101	911
100	101	905
101	102	899
102	102	895
103	103	889
104	103	884
105	104	879
106	104	874
107	105	869
108	105	864
109	106	858
110	106	854
111	107	850
112	107	847
113	108	842
114	108	838
115	109	833
116	109	828
117	110	823
118	110	819
119	111	814
120	111	810
121	111	805
122	112	801
123	113	798
124	113	795
125	114	793
126	114	788
127	115	784
128	115	780
129	116	780
130	117	776
131	117	773
132	118	769
133	118	766
134	119	762
135	119	759
136	120	760
137	122	764
138	122	761
139	123	758
140	125	761
141	125	757
142	126	755
143	126	752
144	127	750
145	127	748
146	128	745
147	128	742
148	129	739
149	129	736
150	130	732
151	130	729
152	131	726
153	131	723
154	132	721
155	132	718
156	133	716
157	134	714
158	135	716
159	135	713
160	136	709
161	136	707
162	137	704
163	137	702
164	138	699
165	138	697
166	139	694
167	139	691
168	140	689
169	140	686
170	141	684
171	142	684
172	142	682
173	143	681
174	144	679
175	145	679
176	145	677
177	146	674
178	146	672
179	147	670
180	147	668
181	148	665
182	148	662
183	148	660
184	149	657
185	149	655
186	150	652
187	150	650
188	151	648
189	151	645
190	151	643
191	152	641
192	152	639
193	153	637
194	153	635
195	154	632
196	154	631
197	155	629
198	156	629
199	156	627
200	157	626
201	158	624
202	158	623
203	159	621
204	159	619
205	160	617
206	160	615
207	161	613
208	161	613
209	162	611
210	163	610
211	163	608
212	164	606
213	165	607
214	165	605
215	166	603
216	166	601
217	167	599
218	167	597
219	167	595
220	168	593
221	169	592
222	169	591
223	170	589
224	170	587
225	171	585
226	171	583
227	171	581
228	172	579
229	172	577
230	173	575
231	173	574
232	174	572
233	174	571
234	175	569
235	175	568
236	175	566
237	176	564
238	176	562
239	177	560
240	177	559
241	177	557
242	178	555
243	178	554
244	179	552
245	179	551
246	180	549
247	180	548
248	181	546
249	181	545
250	182	545
251	183	543
252	183	542
253	183	540
254	184	538
255	184	537
256	185	535
257	185	534
258	186	532
259	186	530
260	186	528
261	187	527
262	187	525
263	187	523
264	188	522
265	188	521
266	189	519
267	189	517
268	189	516
269	190	514
270	190	513
271	191	511
272	191	510
